Index,Total,Average,Combined,No. 1 Movie
Walt Disney, 674," $80,712,496"," $109,117,556,482", Avengers: Endgame
Warner Bros.," 1,088"," $57,682,078"," $100,325,040,530", Harry Potter and the Deathly Hallows:…
Universal," 1,004"," $48,235,224"," $83,669,400,108", Jurassic World
Sony Pictures, 969," $45,096,249"," $78,526,819,056", Spider-Man: No Way Home
20th Century Fox, 736," $49,840,691"," $74,477,682,166", Avatar
Paramount Pictures, 823," $51,748,398"," $70,535,263,912", Titanic
Lionsgate, 544," $28,477,793"," $21,111,171,727", The Hunger Games: Catching Fire
New Line, 241," $29,826,536"," $12,860,697,474", The Lord of the Rings: The Return of …
MGM, 522," $21,773,933"," $12,635,143,958", Die Another Day
Well Go USA, 170," $19,700,000"," $8,873,711,230", Ne Zha Zhi Mo Tong Jiang Shi
Dreamworks SKG, 60," $48,012,727"," $8,617,000,006", Shrek 2
Miramax, 363," $17,498,951"," $8,492,702,567", Chicago
Focus Features, 193," $19,371,649"," $5,957,293,120", London Has Fallen
Weinstein Co., 137," $21,986,628"," $5,951,159,363", Les Intouchables
Fox Searchlight, 174," $10,522,733"," $5,558,799,016", Slumdog Millionaire
China Lion Film Distribution, 91," $25,085,000"," $5,179,171,256", Wo Bi Shi Yao Shen
CMC Pictures, 19," $50,000,000"," $4,683,385,182", Chang jin hu
United Artists, 223," $22,464,286"," $4,473,601,277", No Time to Die
Sony Pictures Classics, 411," $8,947,467"," $4,170,625,922"," Crouching Tiger, Hidden Dragon"
Summit Entertainment, 31," $37,140,741"," $3,888,016,745", The Twilight Saga: Eclipse
20th Century Studios, 24," $125,166,667"," $3,405,446,393", Avatar: The Way of Water
Orion Pictures, 153," $12,000,000"," $2,673,491,779", Dances with Wolves
STX Entertainment, 39," $29,243,750"," $2,101,117,152", Valerian and the City of a Thousand P…
Sony/TriStar, 71," $39,500,000"," $1,734,186,712", Rambo: First Blood Part II
Relativity, 38," $25,464,516"," $1,709,611,704", Immortals
FUNimation, 26," $9,333,333"," $1,699,951,568", Kimetsu no Yaiba: Mugen Ressha-Hen
Miramax/Dimension, 22," $30,028,571"," $1,693,827,990", Scary Movie
CJ Entertainment, 55," $12,325,000"," $1,642,135,822", Myeong-ryang
Open Road, 51," $24,768,421"," $1,524,091,700", The Nut Job
Columbia, 103," $9,885,714"," $1,482,605,877", Close Encounters of the Third Kind
IFC Films, 567," $6,978,352"," $1,433,612,639", My Big Fat Greek Wedding
Eros Entertainment, 163," $5,122,727"," $1,250,193,548", Bajrangi Bhaijaan
Magnolia Pictures, 383," $7,181,641"," $1,232,359,440", Xi you xiang mo pian
A24, 129," $7,290,000"," $1,111,457,851", Everything Everywhere All At Once
UTV Communications, 96," $6,260,000"," $1,065,861,753", Dangal
GKIDS, 68," $8,821,429"," $1,047,720,507", Eiga Slam Dunk
Gramercy, 59," $9,778,125"," $1,009,987,270", Bean
Roadside Attractions, 157," $9,622,115"," $948,815,142", I Can Only Imagine
Newmarket Films, 20," $14,977,778"," $948,670,177", The Passion of the Christ
Paramount Vantage, 68," $13,225,129"," $921,863,015", Babel
Asia Releasing, 18," $10,800,000"," $861,828,508", Jian Bing Man
The H Collective, 1, $0," $835,474,171", Zhan Lang 2
CBS Films, 25," $16,176,471"," $823,252,354", The Woman in Black
Yash Raj Films, 84," $7,522,000"," $790,151,086", Pathaan
FilmDistrict, 13," $23,604,167"," $733,993,445", Olympus Has Fallen
NiuVision Media, 2, $0," $675,236,758", Mǎn Jiāng Hóng (满江红)
IMAX Films, 19, $0," $645,839,401", Space Station
Artisan, 50," $9,367,391"," $627,798,801", The Blair Witch Project
Weinstein/Dimension, 12," $30,700,000"," $611,564,708", Scary Movie 4
Overture Films, 19," $25,230,769"," $576,456,398", Law Abiding Citizen
Neon, 76," $6,081,333"," $511,481,762", Gisaengchung (기생충)
USA Films, 23," $18,520,000"," $499,074,764", Traffic
Viva Entertainment, 65," $12,375,000"," $486,965,916", K.G.F: Chapter 2
Picturehouse, 32," $11,911,538"," $472,498,090", La Môme
Cannon, 77," $8,957,143"," $464,084,946", Cobra
RKO Radio Pictures, 71," $2,018,400"," $418,106,190", Bambi
FilmRise, 58," $28,450,000"," $387,756,868", Zhuo yao ji
Samuel Goldwyn Films, 228," $7,682,609"," $385,779,579", Fireproof
Fine Line, 80," $6,338,700"," $370,638,190", Dancer in the Dark
Searchlight Pictures, 20," $27,650,000"," $365,486,938", The Menu
Bleecker Street, 64," $12,038,667"," $357,098,075", Logan Lucky
Music Box Films, 127," $6,670,833"," $349,904,711", Potiche
FIP, 32, $0," $340,105,299", Bang Bang
Warner Independent, 22," $12,025,000"," $310,226,675", La marche de l'empereur
Entertainment One, 76," $14,080,000"," $309,349,794", The Little Prince
AMC Independent, 10," $1,800,000"," $305,065,293", Ren zai jiong tu zhi tai jiong
Freestyle Releasing, 168," $11,649,839"," $294,893,733", Dragon Wars: D-War
Focus/Rogue Pictures, 10," $16,064,286"," $288,404,273", Huo Yuan Jia
Great India Films, 9," $30,000,000"," $287,290,011", Baahubali 2: The Conclusion
Self Distributed, 445," $5,698,000"," $283,766,511", Yang Ming Li Wan (扬名立万)
New World, 89," $1,520,000"," $280,043,922", Soul Man
Avco Embassy, 39," $5,025,000"," $279,943,424", Time Bandits
Amazon Studios, 50," $15,741,359"," $272,187,108", AIR
Filmways Pictures, 11," $10,800,000"," $268,776,788", The Amityville Horror
Crunchyroll, 10, $0," $266,000,958", One Piece Film: Red
Vestron, 14, $0," $261,205,696", Dirty Dancing
Variance Films, 57," $7,850,000"," $261,133,935", Tropa de Elite 2: O Inimigo Agora É …
Mongrel Media, 100," $4,900,000"," $260,278,460", Astérix: Le domaine des dieux
MGM/UA Classics, 28," $10,500,000"," $244,862,540", Yentl
Polygram, 8," $36,800,000"," $242,161,411", The Game
Entertainment Studios Motio…, 16," $25,000,000"," $241,136,788", 47 Meters Down
Shout! Factory, 56," $34,000,000"," $233,064,440", Dà Yú Hǎi Táng
Saban Films, 168," $15,978,571"," $227,814,738", Skiptrace
Capelight Pictures, 3, $0," $224,566,841", Beomjoidosi 2 (범죄도시2)
Fathom Events, 167," $10,000,000"," $215,859,092", Tonari no Totoro
MacGillivray Freeman Films, 7, $0," $212,888,752", Everest
Alliance Atlantis, 6," $13,000,000"," $212,257,447", Män som hatar kvinnor
Cohen Media Group, 84," $3,906,250"," $201,524,130", Dans la maison
Eleven Arts, 33," $12,000,000"," $197,160,440", Evangelion Shin Gekijôban: Kyu
Pure Flix Entertainment, 14," $5,195,455"," $191,803,877", God’s Not Dead
Reliance Big Pictures, 24, $0," $188,512,969", Bodyguard
Goldwyn Entertainment, 49," $6,757,143"," $187,521,729", Much Ado About Nothing
Wrekin Hill Entertainment, 8," $37,566,667"," $184,981,021", Jin líng shí san chai
Zee Studios, 47, $0," $182,239,276", Secret Superstar
American International Pict…, 44," $10,500,000"," $181,955,465", The Amityville Horror
Netflix, 118," $53,541,667"," $180,965,744", Shaun the Sheep Movie: Farmageddon
Tiger Pictures Entertainment, 1, $0," $175,689,449", Rén Shēng Lù Bù Shú (人生路�…
Embassy, 29," $3,152,500"," $170,522,723", The Graduate
Annapurna Pictures, 8," $27,033,333"," $162,242,790", Vice
Strand, 276," $3,523,529"," $159,154,079", Auf der anderen Seite
Alchemy, 53," $16,205,556"," $158,535,792", Upside Down
Sarigama Cinemas, 4, $0," $158,023,486", RRR
Savoy, 16," $13,666,667"," $157,468,405", Shadowlands
Kino Lorber, 271," $3,762,500"," $154,385,676", Di Qiu Zui Hou De Ye Wang
EuropaCorp, 6," $20,000,000"," $153,565,934", The Transporter Refueled
Broad Green Pictures, 23," $16,912,500"," $152,898,950", A Walk in the Woods
