Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076",22.20%,"$858,614,996",77.80%
2,The Hobbit: The Battle of the Five Armies,"$956,019,788","$255,119,788",26.70%,"$700,900,000",73.30%
3,Guardians of the Galaxy,"$772,776,600","$333,176,600",43.10%,"$439,600,000",56.90%
4,Maleficent,"$758,410,378","$241,410,378",31.80%,"$517,000,000",68.20%
5,The Hunger Games: Mockingjay - Part 1,"$755,356,711","$337,135,885",44.60%,"$418,220,826",55.40%
6,X-Men: Days of Future Past,"$746,045,700","$233,921,534",31.40%,"$512,124,166",68.60%
7,Captain America: The Winter Soldier,"$714,421,503","$259,766,572",36.40%,"$454,654,931",63.60%
8,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589",29.30%,"$502,098,977",70.70%
9,The Amazing Spider-Man 2,"$708,982,323","$202,853,933",28.60%,"$506,128,390",71.40%
10,Interstellar,"$677,896,797","$188,020,017",27.70%,"$489,876,780",72.30%
11,Big Hero 6,"$657,827,828","$222,527,828",33.80%,"$435,300,000",66.20%
12,How to Train Your Dragon 2,"$621,537,519","$177,002,924",28.50%,"$444,534,595",71.50%
13,American Sniper,"$547,426,372","$350,126,372",64%,"$197,300,000",36%
14,Godzilla,"$524,976,069","$200,676,069",38.20%,"$324,300,000",61.80%
15,Rio 2,"$498,781,117","$131,538,435",26.40%,"$367,242,682",73.60%
16,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754",39.40%,"$293,800,000",60.60%
17,The Lego Movie,"$468,060,692","$257,760,692",55.10%,"$210,300,000",44.90%
18,Lucy,"$458,863,600","$126,663,600",27.60%,"$332,200,000",72.40%
19,Penguins of Madagascar,"$373,515,621","$83,850,911",22.40%,"$289,664,710",77.60%
20,Edge of Tomorrow,"$370,541,256","$100,206,256",27%,"$270,335,000",73%
21,Gone Girl,"$369,330,363","$167,767,189",45.40%,"$201,563,174",54.60%
22,Night at the Museum: Secret of the Tomb,"$363,204,635","$113,746,621",31.30%,"$249,458,014",68.70%
23,Noah,"$359,200,044","$101,200,044",28.20%,"$258,000,000",71.80%
24,The Maze Runner,"$348,319,861","$102,427,862",29.40%,"$245,891,999",70.60%
25,300: Rise of an Empire,"$337,580,051","$106,580,051",31.60%,"$231,000,000",68.40%
26,22 Jump Street,"$331,333,876","$191,719,337",57.90%,"$139,614,539",42.10%
27,The Fault in Our Stars,"$307,166,834","$124,872,350",40.70%,"$182,294,484",59.30%
28,Divergent,"$288,885,818","$150,947,895",52.30%,"$137,937,923",47.70%
29,Paddington,"$282,370,135","$76,271,832",27%,"$206,098,303",73%
30,Mr. Peabody & Sherman,"$275,698,039","$111,506,430",40.40%,"$164,191,609",59.60%
31,Neighbors,"$270,665,134","$150,157,400",55.50%,"$120,507,734",44.50%
32,Exodus: Gods and Kings,"$268,175,631","$65,014,513",24.20%,"$203,161,118",75.80%
33,Annabelle,"$257,047,661","$84,273,813",32.80%,"$172,773,848",67.20%
34,Hercules,"$244,819,862","$72,688,614",29.70%,"$172,131,248",70.30%
35,RoboCop,"$242,688,965","$58,607,007",24.10%,"$184,081,958",75.90%
36,The Imitation Game,"$233,555,708","$91,125,683",39%,"$142,430,025",61%
37,Non-Stop,"$222,809,600","$92,168,600",41.40%,"$130,641,000",58.60%
38,Dracula Untold,"$217,124,280","$56,280,355",25.90%,"$160,843,925",74.10%
39,The Expendables 3,"$214,657,577","$39,322,544",18.30%,"$175,335,033",81.70%
40,Into the Woods,"$212,902,372","$128,002,372",60.10%,"$84,900,000",39.90%
41,Fury,"$211,817,906","$85,817,906",40.50%,"$126,000,000",59.50%
42,Need for Speed,"$203,277,636","$43,577,636",21.40%,"$159,700,000",78.60%
43,The Other Woman,"$196,710,396","$83,911,193",42.70%,"$112,799,203",57.30%
44,The Equalizer,"$192,330,738","$101,530,738",52.80%,"$90,800,000",47.20%
45,Breakup Buddies,"$189,017,596","$777,896",0.40%,"$188,239,700",99.60%
46,Stand by Me Doraemon,"$183,442,714",-,-,"$183,442,714",100%
47,Serial Bad Weddings,"$176,404,493",-,-,"$176,404,493",100%
48,The Monkey King: Havoc in Heaven's Palace,"$175,835,580",-,-,"$175,835,580",100%
49,The Grand Budapest Hotel,"$172,936,941","$59,301,324",34.30%,"$113,635,617",65.70%
50,Dumb and Dumber To,"$169,837,010","$86,208,010",50.80%,"$83,629,000",49.20%
51,Into the Storm,"$161,502,194","$47,602,194",29.50%,"$113,900,000",70.50%
52,Unbroken,"$161,459,297","$115,637,895",71.60%,"$45,821,402",28.40%
53,The Monuments Men,"$155,641,650","$78,031,620",50.10%,"$77,610,030",49.90%
54,Ride Along,"$154,468,902","$134,938,200",87.40%,"$19,530,702",12.60%
55,Planes: Fire & Rescue,"$146,965,787","$59,165,787",40.30%,"$87,800,000",59.70%
56,The Taking of Tiger Mountain,"$141,654,055","$228,984",0.20%,"$141,425,071",99.80%
57,The Admiral: Roaring Currents,"$138,342,258","$2,589,811",1.90%,"$135,752,447",98.10%
58,Let's Be Cops,"$138,224,951","$82,390,774",59.60%,"$55,834,177",40.40%
59,Annie,"$136,853,506","$85,911,262",62.80%,"$50,942,244",37.20%
60,Jack Ryan: Shadow Recruit,"$135,503,748","$50,577,412",37.30%,"$84,926,336",62.70%
61,Blended,"$127,994,610","$46,294,610",36.20%,"$81,700,000",63.80%
62,Sex Tape,"$126,069,509","$38,543,473",30.60%,"$87,526,036",69.40%
63,The Theory of Everything,"$123,726,688","$35,893,537",29%,"$87,833,151",71%
64,The Nut Job,"$120,885,527","$64,251,541",53.20%,"$56,633,986",46.80%
65,Pompeii,"$117,831,631","$23,219,748",19.70%,"$94,611,883",80.30%
66,Seventh Son,"$114,178,613","$17,223,265",15.10%,"$96,955,348",84.90%
67,The Purge: Anarchy,"$111,928,365","$71,962,800",64.30%,"$39,965,565",35.70%
68,"Dad, Where Are We Going?","$111,870,000",-,-,"$111,870,000",100%
69,The Boxtrolls,"$108,255,770","$50,837,305",47%,"$57,418,465",53%
70,Horrible Bosses 2,"$107,645,357","$54,445,357",50.60%,"$53,200,000",49.40%
71,The Breakup Guru,"$106,980,263","$208,959",0.20%,"$106,771,304",99.80%
72,Ouija,"$103,590,271","$50,856,010",49.10%,"$52,734,261",50.90%
73,Birdman or (The Unexpected Virtue of Ignorance),"$103,215,094","$42,340,598",41%,"$60,874,496",59%
74,Transcendence,"$103,039,258","$23,022,309",22.30%,"$80,016,949",77.70%
75,Heaven Is for Real,"$101,888,019","$91,443,253",89.70%,"$10,444,766",10.30%
