Rank,Movie,Distributor,Domestic,Opening,Max
1,Top Gun: Maverick,Paramount…,"$718,732,821","$126,707,459","4,751"
2,Avatar: The Way of Water,20th Cent…,"$684,075,767","$134,100,226","4,340"
3,Black Panther: Wakanda Forever,Walt Disney,"$453,829,060","$181,339,761","4,396"
4,Doctor Strange in the Multiverse of Madness,Walt Disney,"$411,331,607","$187,420,998","4,534"
5,Jurassic World: Dominion,Universal,"$376,851,080","$145,075,625","4,697"
6,Minions: The Rise of Gru,Universal,"$369,695,210","$107,010,140","4,427"
7,The Batman,Warner Bros.,"$369,345,583","$134,008,624","4,417"
8,Thor: Love and Thunder,Walt Disney,"$343,256,830","$144,165,107","4,375"
9,Sonic the Hedgehog 2,Paramount…,"$190,872,904","$72,105,176","4,258"
10,Puss in Boots: The Last Wish,Universal,"$185,535,345","$12,429,515","4,121"
11,Black Adam,Warner Bros.,"$168,152,111","$67,004,323","4,402"
12,Elvis,Warner Bros.,"$151,040,048","$31,211,579","3,932"
13,Uncharted,Sony Pict…,"$148,648,820","$44,010,155","4,275"
14,Nope,Universal,"$123,277,080","$44,366,910","3,807"
15,Lightyear,Walt Disney,"$118,307,188","$50,577,961","4,255"
16,Smile,Paramount…,"$105,935,048","$22,609,925","3,659"
17,The Lost City,Paramount…,"$105,344,029","$30,453,269","4,283"
18,Bullet Train,Sony Pict…,"$103,368,602","$30,030,156","4,357"
19,The Bad Guys,Universal,"$97,233,630","$23,950,245","4,042"
20,Fantastic Beasts: The Secrets of Dumbledore,Warner Bros.,"$95,850,844","$42,151,256","4,245"
21,DC League of Super Pets,Warner Bros.,"$93,657,117","$23,003,441","4,332"
22,Where the Crawdads Sing,Sony Pict…,"$90,230,760","$17,253,227","3,650"
23,The Black Phone,Universal,"$90,123,230","$23,633,220","3,156"
24,Scream,Paramount…,"$81,641,405","$30,018,805","3,666"
25,Everything Everywhere All At Once,A24,"$77,169,474","$501,305","2,220"
26,Morbius,Sony Pict…,"$73,865,530","$39,005,895","4,268"
27,Ticket to Paradise,Universal,"$68,275,985","$16,509,095","4,066"
28,The Woman King,Sony Pict…,"$67,328,130","$19,051,442","3,765"
29,Halloween Ends,Universal,"$64,079,860","$40,050,355","3,901"
30,Dog,United Ar…,"$61,778,069","$14,883,928","3,827"
31,jackass forever,Paramount…,"$57,743,451","$23,154,388","3,653"
32,Violent Night,Universal,"$50,057,405","$13,450,240","3,723"
33,"Lyle, Lyle, Crocodile",Sony Pict…,"$46,888,441","$11,401,182","4,350"
34,Death on the Nile,20th Cent…,"$45,630,104","$12,891,123","3,420"
35,"Don’t Worry, Darling",Warner Bros.,"$45,309,403","$19,353,213","4,121"
36,Downton Abbey: A New Era,Focus Fea…,"$44,141,550","$16,000,495","3,830"
37,Barbarian,20th Cent…,"$40,842,944","$10,543,948","2,890"
38,The Menu,Searchlig…,"$38,501,125","$9,004,957","3,228"
39,Strange World,Walt Disney,"$37,968,963","$12,151,384","4,174"
40,The Northman,Focus Fea…,"$34,233,110","$12,290,800","3,284"
41,Gekijouban Jujutsu Kaisen 0,FUNimation,"$33,919,605","$18,003,204","2,418"
42,Doragon boru supa supa hiro (ラゴンボール超 スーパーヒーロー)…,Crunchyroll,"$32,132,374","$21,124,049","3,018"
43,The Bob’s Burgers Movie,20th Cent…,"$31,933,830","$12,416,819","3,425"
44,Beast,Universal,"$31,846,530","$11,575,855","3,754"
45,The Invitation,Sony Pict…,"$25,100,080","$6,805,468","3,117"
46,Whitney Houston: I Wanna Dance With Somebody,Sony Pict…,"$23,708,080","$4,700,450","3,625"
47,Ambulance,Universal,"$22,781,115","$8,699,630","3,412"
48,Marry Me,Universal,"$22,438,180","$7,949,980","3,643"
49,Father Stu,Sony Pict…,"$21,096,678","$5,402,642","2,705"
50,Devotion,Sony Pict…,"$20,511,938","$5,902,803","3,458"
51,The Unbearable Weight of Massive Talent,Lionsgate,"$20,300,157","$7,131,703","3,036"
52,Prey for the Devil,Lionsgate,"$19,802,293","$7,185,126","2,980"
53,Moonfall,Lionsgate,"$19,060,660","$9,868,997","3,446"
54,Paws of Fury: The Legend of Hank,Paramount…,"$17,811,382","$6,321,423","3,481"
55,The Whale,A24,"$17,453,440","$332,152","1,721"
56,The Fabelmans,Universal,"$17,348,945","$161,579","1,962"
57,Babylon,Paramount…,"$15,351,455","$3,603,368","3,351"
58,Glass Onion: A Knives Out Mystery,Netflix,"$15,000,000","$9,200,000",696
59,Amsterdam,20th Cent…,"$14,947,969","$6,444,896","3,005"
60,The Chosen Season 3: Episodes 1 & 2,Fathom Ev…,"$14,612,089","$8,772,746","2,042"
61,The 355,Universal,"$14,570,455","$4,621,765","3,145"
