Movie,Release,id_genre,id_distributor,Gross
Rogue One: A Star Wars Story,2016-12-16,gen1,dist1,532631546.3333333
Finding Dory,2016-06-17,gen1,dist1,486295561.0
Captain America: Civil War,2016-05-06,gen2,dist1,408084349.0
The Secret Life of Pets,2016-07-08,gen1,dist3,368384330.0
The Jungle Book,2016-04-15,gen1,dist1,364001123.0
Deadpool,2016-02-12,gen2,dist5,363070709.0
Zootopia,2016-03-04,gen1,dist1,341268248.0
Batman v Superman: Dawn of Justice,2016-03-25,gen2,dist2,330360194.0
Suicide Squad,2016-08-05,gen2,dist2,325100054.0
Sing,2016-12-21,gen1,dist3,270362235.0
Moana,1926-01-07,gen10,dist6,248757044.0
Fantastic Beasts and Where to Find Them,2016-11-18,gen1,dist2,234037575.0
Doctor Strange,2016-11-04,gen2,dist1,232641920.0
Hidden Figures,2016-12-25,gen3,dist5,169607287.0
Jason Bourne,2016-07-29,gen2,dist3,162353913.33333334
Star Trek Beyond,2016-07-22,gen1,dist6,158848340.0
X-Men: Apocalypse,2016-05-27,gen2,dist5,155442489.0
Trolls,2016-11-04,gen1,dist5,153707064.0
La La Land,2016-12-09,gen8,dist7,151101803.0
Kung Fu Panda 3,2016-01-29,gen1,dist5,143528619.0
Ghostbusters,2016-07-15,gen4,dist4,128350574.0
Central Intelligence,2016-06-17,gen4,dist2,127440871.0
The Legend of Tarzan,2016-07-01,gen1,dist2,126643061.0
Sully,2016-09-09,gen3,dist2,125070033.0
Bad Moms,2016-07-29,gen4,dist552,113257297.0
The Angry Birds Movie,2016-05-20,gen1,dist4,107509366.0
Independence Day: Resurgence,2016-06-24,gen2,dist5,103144286.0
The Conjuring 2: The Enfield Poltergeist,2016-06-10,gen6,dist2,
Arrival,2016-11-11,gen3,dist6,100546139.0
Passengers,2016-12-21,gen5,dist4,100014699.0
Sausage Party,2016-08-12,gen4,dist4,97678022.0
The Magnificent Seven,2016-09-23,gen11,dist4,93432655.0
Ride Along 2,2016-01-15,gen4,dist3,91042257.5
Don’t Breathe,2016-08-26,gen6,dist4,89217875.0
Miss Peregrine’s Home for Peculiar Children,2016-09-30,gen1,dist5,87242834.0
The Accountant,2016-10-14,gen5,dist2,86260045.0
The Purge: Election Year,2016-07-01,gen6,dist3,79156396.66666667
Alice Through the Looking Glass,2016-05-27,gen1,dist1,77041881.0
Pete’s Dragon,2016-08-12,gen1,dist1,76233151.0
The Girl on the Train,2016-10-07,gen5,dist3,75395035.0
Tyler Perry’s Boo! A Madea Halloween,2016-10-21,gen4,dist7,73206343.0
Storks,2016-09-23,gen1,dist2,72679278.0
10 Cloverfield Lane,2016-03-11,gen5,dist6,72082998.5
Lights Out,2016-07-22,gen6,dist2,67268835.0
Hacksaw Ridge,2016-11-04,gen3,dist7,67209615.0
The Divergent Series: Allegiant,2016-03-18,gen2,dist7,66184051.0
