Movie,Release,id_genre,id_distributor,Gross
How the Grinch Stole Christmas,2000-11-17,gen1,dist3,260196825.0
Cast Away,2000-12-22,gen1,dist5,233632142.0
Mission: Impossible 2,2000-05-24,gen2,dist6,215409889.0
Gladiator,2000-05-05,gen2,dist11,187698219.66666663
What Women Want,2000-12-15,gen7,dist6,182808415.0
The Perfect Storm,2000-06-30,gen3,dist2,182618434.0
Meet the Parents,2000-10-06,gen4,dist3,166234542.5
X-Men,2000-07-14,gen2,dist5,157299717.33333334
Scary Movie,2000-07-07,gen4,dist27,157019771.0
What Lies Beneath,2000-07-21,gen5,dist11,155464351.0
Dinosaur,2000-05-19,gen1,dist1,137748063.0
"Crouching Tiger, Hidden Dragon",2000-12-08,gen2,,128225700.33333331
Erin Brockovich,2000-03-17,gen3,dist3,125571945.0
Charlie's Angels,2000-11-03,gen2,dist4,125305545.0
Traffic,2000-12-27,gen3,dist52,124111600.5
Nutty Professor II: The Klumps,2000-07-28,gen4,dist3,123308917.5
Big Momma's House,2000-06-02,gen4,dist5,117559438.0
Remember the Titans,2000-09-29,gen3,dist1,115687251.0
The Patriot,2000-06-28,gen3,dist4,113330342.0
Miss Congeniality,2000-12-22,gen4,dist2,106807667.0
Chicken Run,2000-06-21,gen1,dist11,106814239.5
Gone in 60 Seconds,2000-06-09,gen2,dist1,101646716.66666669
Unbreakable,2000-11-22,gen5,dist1,95005241.0
"Me, Myself & Irene",2000-04-07,gen7,,90570999.0
Space Cowboys,2000-08-04,gen1,dist2,90461196.33333331
The Emperor's New Groove,2000-12-15,gen1,dist1,89466630.0
Scream 3,2000-02-04,gen6,dist12,89140625.5
U-571,2000-04-21,gen2,dist3,77098158.33333333
Rugrats in Paris,2000-11-17,gen1,dist6,76504597.0
The Family Man,2000-12-22,gen4,dist3,75778695.0
Hollow Man,2000-08-04,gen6,dist4,73209340.0
Chocolat,2000-12-15,gen3,dist12,71409561.5
Shaft,2000-06-16,gen2,dist6,70332128.0
The Kid,2000-07-07,gen4,dist1,69690166.5
Road Trip,2000-05-19,gen4,dist11,68533193.0
Vertical Limit,2000-12-08,gen5,dist4,68987026.0
Bring it On,2000-08-25,gen4,dist3,68366275.0
102 Dalmatians,2000-11-22,gen1,dist1,66949292.5
Rules of Engagement,2000-04-07,gen3,dist6,61329044.0
The Cell,2000-08-25,gen4,dist1,13021164.0
Mission to Mars,2000-03-10,gen1,dist1,60879011.0
Coyote Ugly,2000-08-04,gen3,dist1,60786269.0
Snow Day,2000-02-11,gen1,dist6,60014205.0
The Whole Nine Yards,2000-02-18,gen4,dist2,57262492.0
Next Friday,2000-01-12,gen4,dist8,57252592.5
Shanghai Noon,2000-05-26,gen11,dist1,56935769.66666666
Romeo Must Die,2000-03-22,gen2,dist2,55973336.0
Dolphins,2000-10-20,gen10,,54000000.0
Final Destination,2000-03-17,gen6,dist8,53316730.5
Finding Forrester,2000-12-19,gen3,dist4,51786668.5
The Road to El Dorado,2000-03-31,gen1,dist11,50833201.5
Men of Honor,2000-11-10,gen3,dist5,48816915.0
"Dude, Where's My Car?",2000-12-15,gen4,dist5,46729587.0
The Tigger Movie,2000-02-11,gen1,dist1,45548477.0
"O Brother, Where Art Thou?",2000-12-22,gen4,dist1,45509603.5
Frequency,2000-04-28,gen5,dist8,44996991.0
The Replacements,2000-08-11,gen4,dist2,44737059.0
Pokemon 2000,2000-07-21,gen1,dist2,43746923.0
The Beach,1999-11-05,gen7,dist8,39781813.0
Little Nicky,2000-11-10,gen4,dist8,39453823.0
Pitch Black,2000-02-18,gen6,dist52,39238802.0
The Original Kings of Comedy,2000-08-18,,dist6,38175406.0
Bedazzled,2000-10-20,gen4,dist5,37883488.0
Autumn in New York,2000-08-11,gen3,dist9,37757423.0
Keeping the Faith,2000-04-14,gen7,dist1,37042142.0
28 Days,2000-04-14,gen4,dist4,37103001.5
Bounce,2000-11-17,gen3,dist12,36805288.0
Hanging Up,2000-02-18,gen4,dist4,36044069.5
The Flintstones in Viva Rock Vegas,2000-04-28,gen1,dist3,35249820.0
The Skulls,2000-03-31,gen5,dist3,35033140.0
Thirteen Days,2000-12-22,gen3,dist8,34579417.5
The 6th Day,2000-11-17,gen2,dist4,34584087.0
My Dog Skip,2000-01-12,gen3,dist2,34117140.5
Where the Heart Is,2000-04-14,gen4,dist52,5660369.0
Pay it Forward,2000-10-20,gen3,dist2,33514275.0
Dracula 2000,2000-12-22,gen6,dist12,33015303.666666668
Return to Me,2000-04-07,gen7,dist9,32692548.5
Proof of Life,2000-12-08,gen2,dist2,32598931.0
Almost Famous,2000-09-15,gen4,dist11,32528601.0
The Legend of Bagger Vance,2000-11-03,gen3,dist11,30807197.5
The Art of War,2000-12-08,gen10,dist417,30205434.33333333
Snatch,2000-12-08,gen9,dist4,30210631.5
Bless the Child,2000-08-11,gen6,dist6,29377836.0
The Watcher,1999-11-05,gen7,dist8,28946615.0
Love & Basketball,2000-04-21,gen3,dist8,27450368.5
High Fidelity,2000-03-31,gen4,dist1,27282096.0
Book of Shadows: Blair Witch 2,2000-10-27,gen6,dist48,26429204.0
The Adventures of Rocky & Bullwinkle,2000-06-30,gen1,dist3,26003215.0
Nurse Betty,2000-09-08,gen9,dist52,25170054.0
Reindeer Games,2000-02-25,gen2,dist12,23363517.666666668
Titan A.E.,2000-06-16,gen1,dist5,22752461.33333333
Billy Elliot,2000-10-13,gen3,dist13,21995263.0
Boys and Girls,2000-06-16,gen7,dist12,21799652.0
Battlefield Earth: A Saga of the Year 3000,2000-05-12,gen2,dist2,
Urban Legends: Final Cut,2000-09-22,gen6,dist4,21468807.0
Down to You,2000-01-21,gen7,dist12,20052159.0
Wonder Boys,2000-02-23,gen4,dist6,19391505.5
The Ninth Gate,2000-03-10,gen5,dist48,18657541.0
Michael Jordan to the MAX,2000-05-05,gen10,dist163,18646419.5
Best in Show,2000-09-27,gen4,dist2,18668320.5
The Contender,2000-10-13,gen5,dist11,17838498.0
Red Planet,2000-11-10,gen2,dist2,17653926.666666668
Small Time Crooks,2000-05-19,gen4,dist11,17266359.0
